IDCASA	CP	ESR_DATETIME	HABITACION
35	48600	2015-07-03 18:27:34	Entrada
35	48600	2015-07-03 18:39:52	Entrada
35	48600	2015-07-03 18:55:19	Entrada
35	48600	2015-07-03 19:13:35	Entrada
35	48600	2015-07-03 19:20:17	Entrada
35	48600	2015-07-03 19:28:57	Entrada
35	48600	2015-07-03 19:32:54	Salon
35	48600	2015-07-03 19:33:36	Entrada
35	48600	2015-07-03 19:50:01	Entrada
35	48600	2015-07-03 20:00:50	Entrada
35	48600	2015-07-03 20:13:52	Entrada
35	48600	2015-07-03 20:13:56	Salon
35	48600	2015-07-03 20:13:57	Entrada
35	48600	2015-07-03 20:14:00	Salon
35	48600	2015-07-03 20:14:19	Puerta
35	48600	2015-07-03 20:14:19	Puerta
35	48600	2015-07-03 20:14:19	Puerta
35	48600	2015-07-03 20:14:19	Puerta
35	48600	2015-07-03 20:14:19	Puerta
